$BUILT                                             2012-03-11 20:00:02
$AUTHOR                                                     Nortaneous
$GERMAN                                                               
$ENGLISH                                            Castles in the Sky

#SIZE_X                                                            640
#SIZE_Y                                                            400
#TORUS_X                                                             0
#TORUS_Y                                                             0
#START_X                                                             0
#START_Y                                                             0
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                             0
#INITIAL                                                            80
#REQUIRED                                                           55
#SPAWN_INTERVAL                                                     60
#SPAWN_INTERVAL_FAST                                                 4

#CLIMBER                                                            10
#FLOATER                                                            10
#EXPLODER                                                           15
#BLOCKER                                                            15
#BUILDER                                                            20
#PLATFORMER                                                         15
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0

:bitmap/matt/09 - Marble/Hatch.H:                         32       -12

:bitmap/matt/09 - Marble/Goal.G:                         544         0

:bitmap/simon/water.W:                                   230       302
:bitmap/simon/water.W:                                   342       302
:bitmap/simon/water.W:                                   392       300
:bitmap/simon/water.W:                                   192       282
:bitmap/simon/water.W:                                   242       282
:bitmap/simon/water.W:                                   292       282
:bitmap/simon/water.W:                                   342       282
:bitmap/simon/water.W:                                   392       282

:bitmap/matt/09 - Marble/001d:                           260       288
:bitmap/matt/09 - Marble/001d:                           260       272
:bitmap/matt/09 - Marble/001d:                           260       256
:bitmap/matt/09 - Marble/001d:                           260       240
:bitmap/matt/09 - Marble/001d:                           260       224
:bitmap/matt/09 - Marble/001d:                           260       208
:bitmap/matt/09 - Marble/001d:                           260       192
:bitmap/matt/09 - Marble/001d:                           260       176
:bitmap/matt/09 - Marble/001d:                           260       160
:bitmap/matt/09 - Marble/001d:                           260       144
:bitmap/matt/09 - Marble/001d:                           260       128
:bitmap/matt/09 - Marble/001d:                           288       256
:bitmap/matt/09 - Marble/001d:                           344       256
:bitmap/matt/09 - Marble/001d:                           344       240
:bitmap/matt/09 - Marble/001d:                           344       224
:bitmap/matt/09 - Marble/001d:                           344       208
:bitmap/matt/09 - Marble/001d:                           344       192
:bitmap/matt/09 - Marble/001d:                           344       176
:bitmap/matt/09 - Marble/001d:                           344       160
:bitmap/matt/09 - Marble/001d:                           344       144
:bitmap/matt/09 - Marble/001d:                           344       128
:bitmap/matt/09 - Marble/001d:                           372       288
:bitmap/matt/09 - Marble/001d:                           372       272
:bitmap/matt/09 - Marble/001d:                           372       256
:bitmap/matt/09 - Marble/001d:                           372       240
:bitmap/matt/09 - Marble/001d:                           372       224
:bitmap/matt/09 - Marble/001d:                           372       208
:bitmap/matt/09 - Marble/001d:                           372       192
:bitmap/matt/09 - Marble/001d:                           372       176
:bitmap/matt/09 - Marble/001d:                           372       160
:bitmap/matt/09 - Marble/001d:                           372       144
:bitmap/matt/09 - Marble/001d:                           372       128
:bitmap/matt/09 - Marble/001d:                           260       112
:bitmap/matt/09 - Marble/001d:                           260        96
:bitmap/matt/09 - Marble/001d:                           260        80
:bitmap/matt/09 - Marble/001d:                           260        64
:bitmap/matt/09 - Marble/001d:                           260        48
:bitmap/matt/09 - Marble/001d:                           260        32
:bitmap/matt/09 - Marble/001d:                           344       112
:bitmap/matt/09 - Marble/001d:                           344        96
:bitmap/matt/09 - Marble/001d:                           344        80
:bitmap/matt/09 - Marble/001d:                           344        64
:bitmap/matt/09 - Marble/001d:                           344        48
:bitmap/matt/09 - Marble/001d:                           344        32
:bitmap/matt/09 - Marble/001d:                           372       112
:bitmap/matt/09 - Marble/001d:                           372        96
:bitmap/matt/09 - Marble/001d:                           372        80
:bitmap/matt/09 - Marble/001d:                           372        64
:bitmap/matt/09 - Marble/001d:                           372        48
:bitmap/matt/09 - Marble/001d:                           372        32
:bitmap/matt/09 - Marble/001d:                           260        16
:bitmap/matt/09 - Marble/001d:                           260         0
:bitmap/matt/09 - Marble/001d:                           344        16
