$BUILT                                             2012-02-20 00:51:11
$AUTHOR                                                             TM
$GERMAN                                               Zu Weit Zu Gehen
$ENGLISH                                               Too Far to Walk

#SIZE_X                                                           1600
#SIZE_Y                                                            400
#TORUS_X                                                             0
#TORUS_Y                                                             0
#START_X                                                             0
#START_Y                                                           380
#BACKGROUND_RED                                                      0
#BACKGROUND_GREEN                                                    0
#BACKGROUND_BLUE                                                     0

#SECONDS                                                           135
#INITIAL                                                           100
#REQUIRED                                                           80
#SPAWN_INTERVAL                                                     30

#CLIMBER                                                             4
#FLOATER                                                             0
#EXPLODER                                                            2
#BLOCKER                                                             0
#PLATFORMER                                                          1
#BASHER                                                              3
#MINER                                                               0
#DIGGER                                                              1
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0
#NOTHING                                                             0

:bitmap/matt/08 - Bricks/Hatch.H:                         96       208

:bitmap/matt/08 - Bricks/Goal.G:                        1456       288

:bitmap/matt/08 - Bricks/02:                             704       352
:bitmap/matt/08 - Bricks/02:                             768       352
:bitmap/matt/08 - Bricks/02:                             832       352
:bitmap/matt/08 - Bricks/02:                             896       352
:bitmap/matt/08 - Bricks/02:                              48       336
:bitmap/matt/08 - Bricks/02:                             112       336
:bitmap/matt/08 - Bricks/02:                             176       336
:bitmap/matt/08 - Bricks/02:                             240       336
:bitmap/matt/08 - Bricks/02:                             304       336
:bitmap/matt/08 - Bricks/02:                             368       336
:bitmap/matt/08 - Bricks/02:                             432       336
:bitmap/matt/08 - Bricks/02:                             496       336
:bitmap/matt/08 - Bricks/02:                             560       336
:bitmap/matt/08 - Bricks/02:                             624       336
:bitmap/matt/08 - Bricks/02:                             688       336
:bitmap/matt/08 - Bricks/02:                             752       336
:bitmap/matt/08 - Bricks/02:                             816       336
:bitmap/matt/08 - Bricks/02:                             880       336
:bitmap/matt/08 - Bricks/02:                             944       336
:bitmap/matt/08 - Bricks/02:                            1008       336
:bitmap/matt/08 - Bricks/02:                            1072       336
:bitmap/matt/08 - Bricks/02:                            1136       336
:bitmap/matt/08 - Bricks/02:                            1200       336
:bitmap/matt/08 - Bricks/02:                            1264       336
:bitmap/matt/08 - Bricks/02:                            1328       336
:bitmap/matt/08 - Bricks/02:                            1392       336
:bitmap/matt/08 - Bricks/02:                            1456       336
:bitmap/matt/08 - Bricks/19:                              48       320
:bitmap/matt/08 - Bricks/18:                              56       288
:bitmap/matt/08 - Bricks/18:                              56       256
:bitmap/matt/08 - Bricks/20:                              48       240
:bitmap/matt/08 - Bricks/03a:                            240       272
:bitmap/matt/08 - Bricks/03a:                            304       272
:bitmap/matt/08 - Bricks/03a:                            368       272
:bitmap/matt/08 - Bricks/03a:                            432       272
:bitmap/matt/08 - Bricks/03a:                            496       272
:bitmap/matt/08 - Bricks/03a:                            560       272
:bitmap/matt/08 - Bricks/03a:                            624       272
:bitmap/matt/08 - Bricks/03a:                            688       272
:bitmap/matt/08 - Bricks/03a:                            752       272
:bitmap/matt/08 - Bricks/03a:                            816       272
:bitmap/matt/08 - Bricks/03a:                            880       272
:bitmap/matt/08 - Bricks/03a:                            944       272
:bitmap/matt/08 - Bricks/03a:                           1008       272
:bitmap/matt/08 - Bricks/03a:                           1072       272
:bitmap/matt/08 - Bricks/03a:                           1136       272
:bitmap/matt/08 - Bricks/03a:                           1200       272
:bitmap/matt/08 - Bricks/03a:                           1264       272
:bitmap/matt/08 - Bricks/19:                             808       352
:bitmap/matt/08 - Bricks/18:                             816       320
:bitmap/matt/08 - Bricks/18:                             816       288
:bitmap/matt/08 - Bricks/20:                             808       272
:bitmap/matt/08 - Bricks/19:                            1120       352
:bitmap/matt/08 - Bricks/18:                            1128       320
:bitmap/matt/08 - Bricks/01b:                           1248       304
:bitmap/matt/08 - Bricks/20:                            1120       272
:bitmap/matt/08 - Bricks/11:                             240       272
:bitmap/matt/08 - Bricks/09:                            1296       272
:bitmap/matt/08 - Bricks/19:                             448       352
:bitmap/matt/08 - Bricks/18:                             456       320
:bitmap/matt/08 - Bricks/01b:                            400       288
:bitmap/matt/08 - Bricks/18:                             456       288
:bitmap/matt/08 - Bricks/20:                             448       272
:bitmap/matt/08 - Bricks/01b:                            592       320
:bitmap/matt/08 - Bricks/01b:                            736       304
:bitmap/matt/08 - Bricks/01b:                            928       272
:bitmap/matt/08 - Bricks/01b:                            992       304
:bitmap/matt/08 - Bricks/01:                            1104       288
:bitmap/matt/08 - Bricks/18:                            1128       288
:bitmap/matt/08 - Bricks/01:                             672       272
:bitmap/matt/08 - Bricks/01:                             320       312
:bitmap/matt/08 - Bricks/01:                             880       320
:bitmap/matt/08 - Bricks/02:                            1440       352
:bitmap/matt/08 - Bricks/02:                            1376       352
:bitmap/matt/08 - Bricks/02:                            1312       352
:bitmap/matt/08 - Bricks/02:                            1248       352
:bitmap/matt/08 - Bricks/02:                             256       352
:bitmap/matt/08 - Bricks/02:                             192       352
:bitmap/matt/08 - Bricks/02:                             128       352
:bitmap/matt/08 - Bricks/02:                              64       352
:bitmap/matt/08 - Bricks/01:                            1120       368
:bitmap/matt/08 - Bricks/01:                             448       368
